,wins,rewards,scores,steps,high_tile
0,0.125,0.75,64.75,41.5,3.75
1,0.125,0.75,63.25,41.625,3.625
2,0.25,1.5,63.0,40.375,3.75
3,0.125,0.75,56.25,37.75,3.625
4,0.125,0.75,66.75,44.625,3.875
5,0.0,0.0,52.875,37.375,3.375
6,0.0,0.0,61.875,42.75,3.625
7,0.25,1.5,67.25,42.625,4.125
8,0.125,0.75,73.0,44.5,4.0
9,0.125,0.75,60.0,42.0,3.625
10,0.125,0.75,59.25,37.875,3.625
11,0.0,0.0,54.25,35.75,3.5
12,0.0,0.0,41.5,30.625,3.0
13,0.125,0.75,56.75,37.5,3.5
14,0.125,0.75,78.375,44.875,4.0
15,0.125,0.75,62.75,44.625,3.75
16,0.0,0.0,68.75,43.0,3.625
17,0.0,0.0,53.625,38.75,3.625
18,0.0,0.0,58.5,39.75,3.5
19,0.125,0.75,72.25,47.125,4.0
20,0.25,1.5,76.875,48.75,4.0
21,0.0,0.0,46.625,34.75,3.125
22,0.0,0.0,57.875,36.75,3.5
23,0.125,0.75,60.75,35.875,3.75
24,0.0,0.0,49.75,34.75,3.375
25,0.125,0.75,57.875,38.125,3.625
26,0.125,0.75,57.25,39.875,3.375
27,0.0,0.0,58.5,40.0,3.625
28,0.25,1.5,67.5,44.25,3.625
29,0.125,0.75,69.5,44.375,4.125
30,0.25,1.5,68.125,42.5,3.875
31,0.0,0.0,52.25,35.25,3.375
32,0.125,0.75,68.875,46.125,4.0
33,0.125,0.75,62.75,40.125,3.625
34,0.125,0.75,64.0,47.75,3.625
35,0.5,3.0,78.375,46.0,4.25
36,0.0,0.0,53.0,36.125,3.5
37,0.375,2.25,74.125,48.625,4.25
38,0.125,0.75,56.375,38.75,3.625
39,0.125,0.75,54.625,37.75,3.5
40,0.0,0.0,52.5,36.875,3.5
41,0.0,0.0,55.75,38.125,3.5
42,0.0,0.0,54.25,37.75,3.375
43,0.0,0.0,43.25,35.875,3.25
44,0.125,0.75,66.375,43.5,3.75
45,0.0,0.0,45.625,33.0,3.25
46,0.125,0.75,70.625,44.0,3.875
47,0.0,0.0,55.5,40.125,3.5
48,0.125,0.75,67.0,41.0,4.0
49,0.0,0.0,64.375,43.375,3.75
50,0.125,0.75,66.375,44.25,3.75
51,0.125,0.75,65.625,44.5,3.75
52,0.125,0.75,66.875,43.5,3.875
53,0.125,0.75,67.625,45.375,3.875
54,0.0,0.0,46.5,33.875,3.375
55,0.0,0.0,53.625,37.5,3.5
56,0.125,0.75,56.5,36.875,3.5
57,0.125,0.75,64.0,43.5,3.75
58,0.125,0.75,45.0,34.125,3.25
59,0.25,1.5,65.375,41.0,3.875
60,0.5,3.0,75.75,43.75,4.25
61,0.125,0.75,66.125,43.125,3.875
62,0.25,1.5,63.875,41.25,4.0
63,0.0,0.0,46.875,32.75,3.25
64,0.0,0.0,63.25,43.625,3.625
65,0.0,0.0,54.25,38.75,3.375
66,0.125,0.75,69.875,44.25,3.875
67,0.125,0.75,54.5,36.0,3.25
68,0.125,0.75,73.625,47.875,4.0
69,0.0,0.0,46.5,34.25,3.5
70,0.0,0.0,55.5,40.5,3.5
71,0.25,1.5,56.875,39.875,3.5
72,0.25,1.5,69.625,44.625,4.0
73,0.125,0.75,59.0,39.625,3.5
74,0.125,0.75,57.0,36.75,3.5
75,0.0,0.0,70.625,46.125,3.875
76,0.0,0.0,41.25,31.75,3.125
77,0.125,0.75,59.75,42.75,3.5
78,0.125,0.75,59.375,43.875,3.625
79,0.125,0.75,54.125,37.75,3.5
80,0.0,0.0,65.875,44.625,3.5
81,0.0,0.0,62.125,45.875,3.5
82,0.0,0.0,48.875,38.25,3.375
83,0.125,0.75,58.75,39.625,3.625
84,0.125,0.75,63.625,46.0,4.0
85,0.375,2.25,66.125,41.875,3.875
86,0.125,0.75,64.75,43.0,3.875
87,0.125,0.75,52.25,40.625,3.5
88,0.125,0.75,64.25,43.375,3.875
89,0.125,0.75,66.625,45.625,3.75
90,0.25,1.5,53.25,37.375,3.625
91,0.125,0.75,59.0,38.875,3.625
92,0.0,0.0,67.75,43.75,4.0
93,0.25,1.5,77.0,50.25,4.25
94,0.0,0.0,55.625,39.125,3.375
95,0.0,0.0,52.75,36.875,3.375
96,0.0,0.0,67.875,48.125,3.75
97,0.125,0.75,67.0,44.5,3.875
98,0.0,0.0,51.625,35.375,3.5
99,0.125,0.75,63.25,44.125,3.5
100,0.125,0.75,64.0,42.5,3.625
101,0.125,0.75,60.375,42.5,3.625
102,0.0,0.0,56.125,43.5,3.5
103,0.0,0.0,56.125,43.375,3.375
104,0.0,0.0,51.5,44.25,3.375
105,0.125,0.75,62.0,39.875,3.75
106,0.0,0.0,66.0,45.625,3.75
107,0.125,0.75,49.125,32.625,3.5
108,0.125,0.75,64.625,43.75,3.75
109,0.25,1.5,70.5,44.75,4.0
110,0.25,1.5,68.75,45.375,4.0
111,0.25,1.5,57.5,37.625,3.5
112,0.0,0.0,63.25,41.75,3.75
113,0.0,0.0,53.5,43.5,3.375
114,0.25,1.5,79.125,51.625,4.125
115,0.125,0.75,53.625,39.0,3.5
116,0.125,0.75,59.0,44.5,3.75
117,0.0,0.0,57.875,38.875,3.75
118,0.25,1.5,70.875,47.625,4.0
119,0.25,1.5,60.5,46.25,3.625
120,0.125,0.75,55.0,39.0,3.5
121,0.125,0.75,56.375,42.5,3.375
122,0.25,1.5,66.0,43.375,3.75
123,0.0,0.0,52.125,40.875,3.375
124,0.25,1.5,58.25,36.5,3.75
125,0.0,0.0,53.375,37.625,3.375
126,0.125,0.75,71.125,50.25,4.0
127,0.125,0.75,56.25,40.5,3.625
128,0.0,0.0,57.5,46.25,3.5
129,0.0,0.0,70.125,46.0,3.75
130,0.0,0.0,66.375,46.25,4.0
131,0.125,0.75,57.75,43.0,3.625
132,0.0,0.0,58.125,39.875,3.75
133,0.25,1.5,56.75,39.375,3.375
134,0.25,1.5,61.625,42.125,3.625
135,0.125,0.75,67.25,48.0,3.75
136,0.25,1.5,58.0,39.875,3.5
137,0.0,0.0,56.375,37.375,3.5
138,0.25,1.5,68.375,46.5,4.0
139,0.0,0.0,60.375,43.0,3.625
140,0.0,0.0,61.875,44.375,3.75
141,0.0,0.0,58.25,45.125,3.625
142,0.25,1.5,67.375,43.875,4.0
143,0.125,0.75,55.5,41.375,3.625
144,0.125,0.75,60.375,42.5,3.75
145,0.125,0.75,65.0,44.0,3.75
146,0.25,1.5,69.125,44.25,3.875
147,0.0,0.0,53.75,41.125,3.375
148,0.0,0.0,56.125,43.375,3.5
149,0.0,0.0,59.125,42.875,3.5
150,0.25,1.5,69.125,43.375,4.0
151,0.125,0.75,55.0,41.375,3.625
152,0.125,0.75,60.75,45.875,3.625
153,0.0,0.0,55.375,40.125,3.5
154,0.125,0.75,65.75,47.875,3.75
155,0.125,0.75,73.125,52.375,4.0
156,0.0,0.0,67.75,49.0,3.75
157,0.0,0.0,62.125,48.75,3.75
158,0.0,0.0,63.25,43.125,3.625
159,0.125,0.75,74.75,49.125,4.125
160,0.0,0.0,53.75,38.625,3.25
161,0.125,0.75,63.375,42.75,3.625
162,0.25,1.5,75.625,54.125,4.125
163,0.0,0.0,40.625,34.75,3.0
164,0.125,0.75,59.375,39.5,3.75
165,0.0,0.0,54.125,41.625,3.5
166,0.25,1.5,63.875,42.0,3.875
167,0.0,0.0,43.375,38.75,3.125
168,0.0,0.0,58.75,46.625,3.625
169,0.375,2.25,79.5,57.625,4.25
170,0.125,0.75,67.875,48.375,3.75
171,0.0,0.0,60.75,42.25,3.625
172,0.0,0.0,53.0,36.875,3.25
173,0.375,2.25,79.625,56.25,4.25
174,0.25,1.5,59.125,43.0,3.625
175,0.0,0.0,58.125,41.75,3.625
176,0.0,0.0,58.375,47.75,3.5
177,0.125,0.75,66.25,49.125,3.875
178,0.25,1.5,59.25,45.0,3.625
179,0.125,0.75,62.375,44.625,3.625
180,0.125,0.75,60.875,43.0,3.5
181,0.0,0.0,49.25,40.625,3.625
182,0.25,1.5,69.5,55.0,4.0
183,0.0,0.0,61.0,47.5,3.5
184,0.0,0.0,51.5,38.5,3.25
185,0.0,0.0,59.125,45.125,3.5
186,0.25,1.5,60.0,42.5,3.75
187,0.125,0.75,62.0,46.625,3.625
188,0.125,0.75,63.125,43.875,3.875
189,0.375,2.25,76.625,52.125,4.25
190,0.125,0.75,76.125,51.5,4.0
191,0.0,0.0,53.625,40.25,3.625
192,0.125,0.75,52.875,41.625,3.5
193,0.125,0.75,55.0,37.875,3.625
194,0.125,0.75,72.25,53.875,3.75
195,0.0,0.0,50.25,40.625,3.375
196,0.0,0.0,52.375,44.375,3.375
197,0.125,0.75,62.125,49.375,3.625
198,0.125,0.75,59.5,43.75,3.625
199,0.0,0.0,54.625,39.875,3.5
200,0.0,0.0,56.75,41.875,3.625
201,0.0,0.0,59.0,43.75,3.625
202,0.125,0.75,64.75,45.125,3.75
203,0.125,0.75,74.375,56.625,3.875
204,0.125,0.75,56.625,43.125,3.5
205,0.125,0.75,73.125,47.875,4.125
206,0.25,1.5,80.5,56.75,4.25
207,0.0,0.0,59.5,45.375,3.625
208,0.125,0.75,59.375,49.0,3.625
209,0.0,0.0,61.75,53.5,3.5
210,0.125,0.75,71.75,50.0,4.0
211,0.0,0.0,51.875,39.375,3.5
212,0.125,0.75,57.25,42.875,3.5
213,0.125,0.75,66.0,48.75,3.875
214,0.125,0.75,65.5,50.125,3.75
215,0.125,0.75,68.875,53.875,3.75
216,0.0,0.0,66.375,52.0,3.75
217,0.0,0.0,58.375,43.375,3.625
218,0.125,0.75,62.0,53.75,3.625
219,0.0,0.0,75.0,49.125,4.0
220,0.0,0.0,61.375,43.75,3.875
221,0.25,1.5,59.75,44.625,3.75
222,0.0,0.0,63.25,48.25,3.625
223,0.125,0.75,59.875,43.25,3.625
224,0.125,0.75,58.0,52.0,3.75
225,0.0,0.0,64.125,46.75,3.75
226,0.125,0.75,45.875,38.0,3.125
227,0.25,1.5,67.625,48.625,3.875
228,0.25,1.5,66.25,49.875,3.875
229,0.125,0.75,63.125,47.0,3.875
230,0.25,1.5,78.75,52.75,4.25
231,0.125,0.75,56.125,41.625,3.5
232,0.125,0.75,59.5,42.125,3.75
233,0.0,0.0,68.25,58.75,3.625
234,0.0,0.0,47.75,36.875,3.375
235,0.125,0.75,62.0,48.5,3.875
236,0.0,0.0,57.125,44.5,3.5
237,0.125,0.75,64.625,47.25,3.875
238,0.0,0.0,59.75,51.875,3.625
239,0.0,0.0,48.375,37.75,3.375
240,0.125,0.75,63.375,48.5,3.75
241,0.125,0.75,57.375,49.25,3.625
242,0.0,0.0,58.375,48.625,3.625
243,0.5,3.0,75.625,56.0,4.375
244,0.0,0.0,51.75,44.5,3.5
245,0.0,0.0,62.875,50.375,3.5
246,0.25,1.5,73.0,52.875,4.0
247,0.125,0.75,66.125,52.375,3.875
248,0.125,0.75,69.0,49.5,4.0
249,0.25,1.5,60.75,52.0,3.625
250,0.25,1.5,72.625,55.875,4.0
251,0.0,0.0,46.625,41.375,3.25
252,0.25,1.5,68.75,52.375,3.875
253,0.0,0.0,52.75,42.625,3.5
254,0.0,0.0,55.75,43.125,3.5
255,0.0,0.0,54.125,50.25,3.5
256,0.125,0.75,62.875,53.0,3.75
257,0.375,2.25,61.75,45.25,3.625
258,0.0,0.0,47.875,44.625,3.25
259,0.125,0.75,62.5,51.375,3.625
260,0.0,0.0,45.25,35.25,3.125
261,0.375,2.25,77.125,59.875,4.25
262,0.125,0.75,63.75,47.375,3.75
263,0.125,0.75,50.875,39.625,3.5
264,0.0,0.0,62.375,54.375,3.75
265,0.0,0.0,54.125,42.5,3.375
266,0.0,0.0,59.25,46.125,3.375
267,0.25,1.5,66.5,49.0,3.875
268,0.125,0.75,60.25,48.375,3.5
269,0.0,0.0,52.0,47.875,3.125
270,0.0,0.0,58.375,52.875,3.5
271,0.0,0.0,48.0,41.625,3.375
272,0.0,0.0,54.125,43.5,3.5
273,0.25,1.5,70.375,47.0,4.0
274,0.125,0.75,69.625,44.875,3.875
275,0.25,1.5,59.25,45.625,3.625
276,0.0,0.0,74.875,57.125,3.875
277,0.0,0.0,62.5,54.0,3.5
278,0.125,0.75,66.875,56.25,3.75
279,0.125,0.75,57.25,45.0,3.625
280,0.0,0.0,46.125,44.75,3.25
281,0.0,0.0,61.0,49.25,3.625
282,0.125,0.75,49.375,45.75,3.375
283,0.125,0.75,67.0,51.375,4.0
284,0.25,1.5,69.375,53.375,3.875
285,0.125,0.75,57.625,44.125,3.625
286,0.0,0.0,69.75,61.875,3.875
287,0.0,0.0,62.0,52.5,3.75
288,0.125,0.75,70.5,50.375,4.0
289,0.125,0.75,76.75,58.375,4.0
290,0.125,0.75,51.25,40.0,3.25
291,0.25,1.5,72.625,51.625,3.875
292,0.125,0.75,62.25,48.75,3.625
293,0.0,0.0,54.75,40.125,3.375
294,0.25,1.5,70.0,53.5,3.875
295,0.25,1.5,64.125,49.375,3.875
296,0.125,0.75,73.375,61.875,4.125
297,0.25,1.5,59.5,54.375,3.875
298,0.25,1.5,72.5,63.25,4.0
299,0.125,0.75,67.0,58.375,3.875
300,0.125,0.75,52.125,42.375,3.375
301,0.0,0.0,46.75,35.75,3.375
302,0.0,0.0,46.375,41.75,3.125
303,0.0,0.0,53.125,59.375,3.375
304,0.0,0.0,56.0,60.875,3.5
305,0.0,0.0,57.75,51.75,3.5
306,0.125,0.75,68.0,51.75,3.875
307,0.0,0.0,55.875,52.5,3.75
308,0.0,0.0,57.875,52.125,3.5
309,0.0,0.0,58.875,55.75,3.5
310,0.375,2.25,78.0,62.0,4.25
311,0.125,0.75,64.0,52.5,3.75
312,0.0,0.0,69.625,55.25,4.0
313,0.125,0.75,59.375,48.0,3.875
314,0.125,0.75,68.5,52.75,4.0
315,0.0,0.0,67.0,55.875,3.75
316,0.25,1.5,67.125,52.5,3.875
317,0.125,0.75,70.25,54.25,3.875
318,0.25,1.5,65.125,52.25,3.875
319,0.125,0.75,65.5,62.375,4.0
320,0.125,0.75,68.0,67.625,3.75
321,0.25,1.5,57.375,58.125,3.625
322,0.25,1.5,80.375,67.125,4.125
323,0.0,0.0,58.875,49.25,3.5
324,0.0,0.0,68.125,59.25,3.625
325,0.0,0.0,55.5,50.5,3.5
326,0.0,0.0,57.625,50.75,3.625
327,0.125,0.75,62.25,48.75,3.625
328,0.125,0.75,69.25,60.75,3.625
329,0.125,0.75,50.625,39.125,3.25
330,0.0,0.0,50.375,43.625,3.25
331,0.25,1.5,78.75,64.125,4.0
332,0.25,1.5,64.125,50.125,3.875
333,0.125,0.75,67.5,57.25,3.875
334,0.0,0.0,53.625,44.75,3.375
335,0.25,1.5,77.75,64.875,4.125
336,0.25,1.5,65.75,56.875,3.875
337,0.0,0.0,47.625,47.75,3.25
338,0.0,0.0,65.75,59.5,3.625
339,0.125,0.75,83.0,63.875,4.125
340,0.125,0.75,61.0,59.75,3.75
341,0.125,0.75,62.25,50.0,3.75
342,0.125,0.75,58.25,49.75,3.625
343,0.0,0.0,58.125,51.875,3.5
344,0.125,0.75,61.75,54.5,3.625
345,0.0,0.0,50.875,37.75,3.375
346,0.125,0.75,63.25,53.25,3.75
347,0.25,1.5,72.5,60.0,4.125
348,0.125,0.75,55.0,42.625,3.75
349,0.0,0.0,63.125,55.375,3.5
350,0.0,0.0,66.25,58.0,3.75
351,0.0,0.0,70.25,60.375,3.875
352,0.25,1.5,71.625,56.0,3.875
353,0.0,0.0,54.25,49.375,3.5
354,0.125,0.75,60.625,46.75,3.75
355,0.0,0.0,58.25,49.5,3.5
356,0.125,0.75,54.375,48.375,3.5
357,0.125,0.75,75.75,60.625,4.0
358,0.0,0.0,63.875,60.375,3.625
359,0.0,0.0,62.125,50.125,3.75
360,0.0,0.0,66.25,59.0,3.625
361,0.125,0.75,67.0,66.125,3.625
362,0.125,0.75,53.125,44.625,3.375
363,0.0,0.0,66.75,63.375,3.625
364,0.5,3.0,77.125,64.75,4.375
365,0.0,0.0,56.0,52.375,3.625
366,0.25,1.5,81.5,73.875,4.125
367,0.0,0.0,70.625,59.875,3.75
368,0.125,0.75,66.75,59.375,3.875
369,0.0,0.0,54.5,48.625,3.625
370,0.0,0.0,63.625,59.875,3.75
371,0.0,0.0,55.375,55.625,3.625
372,0.125,0.75,54.75,49.75,3.625
373,0.125,0.75,55.125,45.125,3.375
374,0.375,2.25,67.75,58.875,3.875
375,0.0,0.0,69.0,62.25,3.875
376,0.0,0.0,57.375,53.0,3.375
377,0.125,0.75,61.625,61.625,3.75
378,0.0,0.0,61.375,61.5,3.375
379,0.125,0.75,63.375,53.875,3.75
380,0.0,0.0,60.0,57.25,3.75
381,0.0,0.0,53.5,48.375,3.5
382,0.0,0.0,50.875,54.25,3.25
383,0.0,0.0,56.625,50.875,3.5
384,0.0,0.0,45.375,50.375,3.125
385,0.125,0.75,57.375,54.25,3.5
386,0.25,1.5,71.0,60.625,3.875
387,0.25,1.5,64.25,58.375,3.75
388,0.125,0.75,77.25,69.875,4.125
389,0.125,0.75,57.5,56.25,3.625
390,0.0,0.0,49.75,47.625,3.25
391,0.125,0.75,70.125,66.25,3.875
392,0.0,0.0,46.875,60.625,3.25
393,0.0,0.0,66.375,62.125,3.75
394,0.0,0.0,47.375,60.25,3.125
395,0.25,1.5,65.25,64.25,3.875
396,0.0,0.0,52.5,58.25,3.25
397,0.0,0.0,62.125,64.25,3.75
398,0.25,1.5,82.75,69.125,4.25
399,0.0,0.0,62.125,58.125,3.75
400,0.0,0.0,59.875,58.625,3.625
401,0.0,0.0,56.0,63.125,3.625
402,0.5,3.0,70.625,69.125,4.125
403,0.125,0.75,63.375,70.75,3.75
404,0.0,0.0,61.75,57.625,3.625
405,0.25,1.5,62.25,54.625,3.625
406,0.125,0.75,58.75,63.75,3.625
407,0.0,0.0,69.25,56.75,3.75
408,0.0,0.0,62.25,56.75,3.5
409,0.25,1.5,71.5,67.375,4.125
410,0.25,1.5,62.0,65.625,3.75
411,0.25,1.5,65.125,62.375,3.875
412,0.125,0.75,65.875,64.25,3.625
413,0.125,0.75,62.375,68.875,3.75
414,0.125,0.75,66.75,59.875,3.75
415,0.375,2.25,71.75,77.625,4.0
416,0.125,0.75,73.75,67.25,4.0
417,0.125,0.75,64.75,64.5,3.875
418,0.125,0.75,58.0,56.625,3.75
419,0.125,0.75,56.875,59.25,3.75
420,0.0,0.0,57.0,57.5,3.5
421,0.0,0.0,68.25,57.25,3.75
422,0.25,1.5,64.25,62.25,3.75
423,0.125,0.75,74.625,77.875,4.0
424,0.0,0.0,64.125,58.0,3.625
425,0.25,1.5,63.75,56.375,3.875
426,0.0,0.0,57.875,61.25,3.625
427,0.0,0.0,50.75,58.0,3.5
428,0.0,0.0,57.625,60.125,3.5
429,0.125,0.75,53.5,48.25,3.5
430,0.25,1.5,65.0,58.5,3.875
431,0.125,0.75,61.5,53.375,3.75
432,0.125,0.75,56.25,53.75,3.5
433,0.125,0.75,70.0,73.75,3.875
434,0.25,1.5,55.125,55.25,3.5
435,0.25,1.5,78.75,84.0,4.0
436,0.125,0.75,68.875,69.25,3.875
437,0.0,0.0,51.5,50.0,3.25
438,0.125,0.75,60.5,67.25,3.75
439,0.25,1.5,72.5,71.75,4.0
440,0.0,0.0,66.875,59.75,3.625
441,0.0,0.0,57.5,65.125,3.625
442,0.125,0.75,69.375,83.0,3.875
443,0.0,0.0,66.375,77.625,3.75
444,0.0,0.0,52.5,62.625,3.25
445,0.0,0.0,69.125,63.375,3.625
446,0.0,0.0,52.625,63.125,3.625
447,0.125,0.75,74.375,74.25,4.0
448,0.125,0.75,65.25,62.375,3.625
449,0.0,0.0,75.875,74.625,3.875
450,0.125,0.75,62.375,65.0,3.5
451,0.125,0.75,78.375,78.0,4.0
452,0.0,0.0,46.0,61.25,3.25
453,0.125,0.75,66.0,64.625,3.75
454,0.0,0.0,44.625,43.625,3.25
455,0.0,0.0,40.125,46.75,2.875
456,0.125,0.75,75.875,73.875,3.875
457,0.125,0.75,71.375,82.0,3.75
458,0.125,0.75,60.375,53.375,3.625
459,0.5,3.0,78.25,69.75,4.0
460,0.0,0.0,40.75,41.375,3.0
461,0.125,0.75,68.25,71.625,3.875
462,0.0,0.0,57.375,71.375,3.375
463,0.25,1.5,75.25,79.375,4.0
464,0.375,2.25,76.75,80.375,4.25
465,0.0,0.0,59.25,63.75,3.5
466,0.0,0.0,50.75,50.75,3.25
467,0.25,1.5,56.25,63.875,3.5
468,0.125,0.75,59.5,64.625,3.5
469,0.125,0.75,56.0,69.875,3.5
470,0.0,0.0,58.25,69.75,3.5
471,0.0,0.0,51.5,66.0,3.375
472,0.25,1.5,68.625,73.0,4.125
473,0.125,0.75,56.875,76.5,3.5
474,0.0,0.0,58.0,60.875,3.625
475,0.0,0.0,57.625,74.875,3.375
476,0.125,0.75,62.0,62.75,3.75
477,0.25,1.5,53.875,67.375,3.625
478,0.25,1.5,67.75,70.25,3.875
479,0.0,0.0,45.5,44.75,3.125
480,0.0,0.0,63.375,62.625,3.625
481,0.375,2.25,68.625,72.375,4.0
482,0.125,0.75,69.875,78.625,3.75
483,0.125,0.75,63.625,75.125,3.75
484,0.125,0.75,62.125,77.0,3.625
485,0.0,0.0,38.25,51.375,3.125
486,0.0,0.0,60.0,61.5,3.5
487,0.25,1.5,75.625,68.75,4.125
488,0.125,0.75,63.375,67.125,3.875
489,0.0,0.0,63.5,81.125,3.75
490,0.0,0.0,40.75,49.0,3.25
491,0.125,0.75,58.125,69.75,3.625
492,0.125,0.75,54.25,54.625,3.375
493,0.125,0.75,65.625,68.25,3.75
494,0.25,1.5,63.5,66.625,3.75
495,0.375,2.25,60.875,77.625,3.75
496,0.125,0.75,59.625,54.125,3.75
497,0.5,3.0,70.25,70.0,3.875
498,0.0,0.0,58.875,69.625,3.5
499,0.25,1.5,64.375,67.25,4.0
500,0.0,0.0,56.25,83.0,3.5
501,0.125,0.75,63.75,77.5,3.875
502,0.0,0.0,60.625,66.75,3.625
503,0.125,0.75,65.5,78.75,3.75
504,0.0,0.0,41.25,59.875,3.125
505,0.375,2.25,69.75,79.875,3.875
506,0.125,0.75,58.5,75.625,3.375
507,0.25,1.5,50.125,73.5,3.375
508,0.25,1.5,69.875,93.375,4.0
509,0.0,0.0,54.375,59.5,3.625
510,0.125,0.75,73.875,82.625,4.0
511,0.0,0.0,61.375,65.875,3.5
512,0.125,0.75,61.625,79.0,3.625
513,0.125,0.75,60.625,63.375,3.625
514,0.25,1.5,69.5,86.875,3.875
515,0.0,0.0,66.375,95.0,3.75
516,0.25,1.5,76.375,90.625,4.0
517,0.125,0.75,58.75,62.25,3.625
518,0.375,2.25,75.5,90.875,4.25
519,0.25,1.5,61.125,83.375,3.75
520,0.125,0.75,62.125,71.125,3.75
521,0.125,0.75,78.375,89.125,4.125
522,0.0,0.0,67.5,88.25,3.875
523,0.0,0.0,63.375,74.25,3.75
524,0.0,0.0,62.625,86.0,3.625
525,0.0,0.0,73.5,97.5,3.875
526,0.25,1.5,82.375,103.25,4.25
527,0.125,0.75,59.5,69.25,3.625
528,0.25,1.5,84.0,100.875,4.125
529,0.125,0.75,76.25,98.375,3.875
530,0.0,0.0,55.375,72.5,3.375
531,0.25,1.5,72.75,84.0,3.75
532,0.25,1.5,82.0,106.625,4.25
533,0.125,0.75,68.75,89.375,3.75
534,0.25,1.5,71.875,68.125,3.875
535,0.0,0.0,63.875,86.25,3.5
536,0.125,0.75,58.375,74.25,3.75
537,0.375,2.25,83.0,102.5,4.25
538,0.0,0.0,60.25,74.125,3.5
539,0.0,0.0,52.125,68.25,3.375
540,0.0,0.0,69.125,103.375,3.75
541,0.125,0.75,56.25,66.25,3.5
542,0.0,0.0,60.5,85.375,3.625
543,0.125,0.75,66.0,95.5,3.625
544,0.0,0.0,54.0,83.375,3.375
545,0.375,2.25,65.5,88.875,4.0
546,0.25,1.5,69.625,76.625,4.0
547,0.125,0.75,59.875,70.5,3.75
548,0.5,3.0,67.625,67.375,4.0
549,0.125,0.75,55.125,61.375,3.5
550,0.125,0.75,64.5,94.125,3.75
551,0.125,0.75,62.375,81.5,3.75
552,0.0,0.0,70.625,116.25,3.75
553,0.125,0.75,64.25,95.0,3.75
554,0.25,1.5,68.0,83.0,3.75
555,0.125,0.75,67.5,85.875,3.75
556,0.0,0.0,64.0,77.25,3.625
557,0.0,0.0,49.25,61.0,3.25
558,0.25,1.5,78.125,104.375,4.0
559,0.375,2.25,78.25,88.0,4.125
560,0.0,0.0,61.75,89.875,3.5
561,0.125,0.75,74.5,98.75,4.0
562,0.125,0.75,63.625,95.5,3.625
563,0.25,1.5,67.25,79.125,3.75
564,0.25,1.5,73.375,94.375,4.125
565,0.125,0.75,64.75,77.5,3.75
566,0.0,0.0,55.375,94.875,3.375
567,0.25,1.5,75.5,107.0,4.25
568,0.0,0.0,46.375,79.0,3.375
569,0.375,2.25,64.375,86.875,3.875
570,0.125,0.75,65.75,96.125,3.875
571,0.125,0.75,52.5,88.125,3.375
572,0.25,1.5,76.625,98.875,4.0
573,0.25,1.5,64.25,89.75,3.75
574,0.125,0.75,55.625,85.125,3.625
575,0.375,2.25,67.25,95.375,4.125
576,0.0,0.0,62.875,81.0,3.625
577,0.0,0.0,69.875,94.625,3.75
578,0.0,0.0,70.5,101.875,3.75
579,0.25,1.5,65.125,103.375,3.75
580,0.25,1.5,74.375,113.25,4.0
581,0.0,0.0,56.75,81.375,3.5
582,0.375,2.25,70.375,101.25,4.0
583,0.125,0.75,58.5,79.5,3.625
584,0.25,1.5,63.0,94.25,3.5
585,0.375,2.25,77.375,106.75,4.125
586,0.0,0.0,70.25,95.5,3.75
587,0.375,2.25,66.75,102.25,4.0
588,0.0,0.0,49.0,68.25,3.25
589,0.375,2.25,76.5,110.375,4.25
590,0.125,0.75,50.375,80.25,3.375
591,0.0,0.0,57.125,112.75,3.375
592,0.25,1.5,70.125,126.25,3.875
593,0.0,0.0,48.125,58.25,3.375
594,0.0,0.0,72.375,117.25,3.75
595,0.0,0.0,39.875,76.25,2.875
596,0.125,0.75,65.75,95.875,3.75
597,0.375,2.25,70.125,118.0,4.0
598,0.375,2.25,63.375,104.0,3.75
599,0.0,0.0,74.125,110.625,3.875
600,0.125,0.75,68.875,117.5,3.625
601,0.0,0.0,58.375,116.375,3.375
602,0.0,0.0,47.75,66.125,3.25
603,0.25,1.5,70.5,94.25,3.875
604,0.25,1.5,61.5,119.0,3.875
605,0.125,0.75,72.5,93.125,3.875
606,0.375,2.25,86.75,133.5,4.25
607,0.125,0.75,71.25,135.25,3.875
608,0.375,2.25,73.625,134.625,4.0
609,0.0,0.0,80.375,128.75,3.875
610,0.0,0.0,60.125,99.625,3.375
611,0.125,0.75,80.25,131.125,4.125
612,0.25,1.5,67.875,111.625,3.875
613,0.0,0.0,50.625,105.625,3.25
614,0.125,0.75,62.375,124.125,3.875
615,0.25,1.5,79.875,117.875,4.125
616,0.0,0.0,69.5,119.375,3.75
617,0.25,1.5,71.625,106.125,4.0
618,0.125,0.75,54.0,99.125,3.5
619,0.125,0.75,63.25,104.25,3.75
620,0.125,0.75,65.5,118.625,3.875
621,0.25,1.5,72.25,111.625,4.125
622,0.125,0.75,55.625,114.75,3.375
623,0.0,0.0,60.75,108.625,3.625
624,0.125,0.75,63.875,114.0,3.75
625,0.0,0.0,56.25,141.875,3.25
626,0.125,0.75,61.875,117.75,3.625
627,0.0,0.0,61.25,89.875,3.5
628,0.375,2.25,71.125,129.875,4.0
629,0.25,1.5,64.375,106.75,3.75
630,0.0,0.0,69.75,131.25,3.875
631,0.0,0.0,54.625,112.5,3.375
632,0.375,2.25,77.25,113.25,4.25
633,0.375,2.25,75.875,142.625,3.875
634,0.125,0.75,60.875,104.375,3.5
