,eps_len,eps_end,eps_win,eps_score,eps_rewards,eps_max_tile
0,38,True,False,60,50.70,5
1,26,True,False,34,28.50,4
2,43,True,False,58,49.00,5
3,22,True,False,32,26.50,4
4,40,True,False,71,60.30,5
5,55,True,False,93,78.80,5
6,48,True,False,73,61.50,5
7,53,True,False,76,63.90,5
8,48,True,False,71,62.20,5
9,28,True,False,39,33.60,4
10,50,True,False,80,68.90,5
11,49,True,False,68,58.50,5
12,46,True,False,61,51.20,4
13,48,True,False,77,66.50,5
14,46,True,False,72,61.50,5
15,36,True,False,47,40.30,4
16,25,True,False,29,23.60,4
17,40,True,False,64,55.00,5
18,28,True,False,37,31.80,4
19,45,True,False,62,53.10,5
20,56,True,False,71,58.50,5
21,30,True,False,41,33.70,4
22,40,True,False,55,46.30,5
23,29,True,False,34,27.20,4
24,64,True,False,99,85.70,5
25,35,True,False,48,40.00,4
26,51,True,False,69,59.60,5
27,47,True,False,66,56.90,5
28,53,True,False,76,66.40,5
29,41,True,False,66,55.90,5
30,44,True,True,93,80.10,6
31,58,True,False,86,73.10,5
32,48,True,False,78,67.00,5
33,44,True,False,57,48.60,4
34,64,True,True,96,84.40,6
35,33,True,False,55,47.10,4
36,47,True,False,91,78.00,5
37,49,True,False,70,60.30,5
38,51,True,False,64,55.30,5
39,30,True,False,41,34.70,4
40,46,True,False,69,60.40,5
41,51,True,False,73,62.80,5
42,35,True,False,57,49.30,4
43,50,True,False,75,64.80,5
44,42,True,False,65,55.80,5
45,43,True,False,64,54.50,5
46,47,True,False,74,62.90,5
47,27,True,False,41,34.40,4
48,33,True,False,41,33.10,4
49,41,True,False,68,57.30,5
50,31,True,False,35,29.80,4
51,26,True,False,38,30.20,4
52,35,True,False,50,41.50,4
53,38,True,False,54,45.10,5
54,43,True,False,59,51.00,5
55,29,True,False,38,32.00,4
56,25,True,False,34,27.30,4
57,40,True,False,52,44.30,4
58,57,True,False,74,62.90,5
59,50,True,False,71,60.10,5
60,50,True,True,91,77.80,6
61,53,True,True,94,81.30,6
62,74,True,False,78,66.80,5
63,65,True,True,95,82.30,6
64,54,True,False,71,61.20,5
65,30,True,False,37,31.60,4
66,40,True,False,45,37.20,4
67,39,True,False,60,51.90,5
68,40,True,False,72,62.10,5
69,49,True,False,74,65.00,5
70,26,True,False,35,29.00,4
71,33,True,False,28,23.90,4
72,43,True,False,53,45.80,4
73,33,True,False,43,35.70,4
74,52,True,False,82,69.80,5
75,60,True,False,77,65.10,5
76,23,True,False,28,22.30,4
77,43,True,False,68,58.60,5
78,18,True,False,14,11.30,3
79,50,True,False,72,62.50,5
80,70,True,True,92,78.30,6
81,34,True,False,40,34.40,4
82,51,True,False,75,64.60,5
83,46,True,True,92,81.40,6
84,52,True,False,86,72.50,5
85,37,True,False,35,30.00,4
86,34,True,False,43,36.20,4
87,54,True,False,89,78.40,5
88,49,True,False,77,66.50,5
89,33,True,False,60,51.30,5
90,53,True,True,96,85.30,6
91,51,True,False,72,62.10,5
92,41,True,True,88,77.00,6
93,45,True,False,71,59.40,5
94,32,True,False,50,42.90,4
95,29,True,False,41,35.10,4
96,52,True,False,72,62.90,5
97,32,True,False,50,41.70,4
98,30,True,False,39,32.70,4
99,39,True,False,58,49.80,5
100,42,True,False,62,53.10,4
101,58,True,False,70,59.40,5
102,30,True,False,31,25.20,4
103,46,True,False,70,59.00,5
104,45,True,False,85,73.10,5
105,47,True,False,78,66.90,5
106,31,True,False,51,44.60,5
107,32,True,False,45,38.10,4
108,39,True,False,73,62.60,5
109,29,True,False,39,32.80,4
110,53,True,False,96,82.30,5
111,58,True,False,91,78.90,5
112,43,True,False,80,69.20,5
113,19,True,False,19,15.70,3
114,44,True,True,87,76.10,6
115,63,True,True,94,83.00,6
116,52,True,True,93,81.40,6
117,58,True,False,110,96.80,5
118,67,True,False,87,75.10,5
119,50,True,False,64,55.40,5
120,49,True,False,66,56.10,5
121,31,True,False,37,29.80,4
122,25,True,False,32,26.00,4
123,42,True,False,62,52.20,5
124,37,True,False,57,48.80,5
125,28,True,False,42,34.00,4
126,35,True,False,43,34.70,4
127,22,True,False,21,16.90,3
128,22,True,False,19,14.60,3
129,23,True,False,29,23.50,4
130,35,True,False,62,53.30,5
131,36,True,False,41,33.70,4
132,63,True,True,105,92.10,6
133,41,True,False,53,46.30,5
134,32,True,False,37,30.80,4
135,37,True,False,60,51.40,5
136,56,True,False,78,66.10,5
137,50,True,True,100,86.10,6
138,43,True,False,60,51.20,5
139,33,True,False,52,44.60,5
140,43,True,False,64,53.80,5
141,22,True,False,30,25.10,4
142,37,True,False,59,49.60,5
143,35,True,False,59,49.00,5
144,45,True,False,68,58.30,5
145,61,True,False,78,67.20,5
146,20,True,False,16,12.00,3
147,32,True,False,48,40.30,4
148,41,True,False,73,62.20,5
149,30,True,False,43,36.10,4
150,27,True,False,39,33.60,4
151,29,True,False,44,37.30,4
152,27,True,False,34,28.80,4
153,52,True,False,67,58.90,5
154,37,True,False,40,33.40,4
155,50,True,False,82,70.60,5
156,35,True,False,54,46.80,5
157,35,True,False,53,45.00,5
158,40,True,False,55,47.20,5
159,59,True,False,78,66.80,5
160,42,True,False,61,50.80,5
161,29,True,False,34,29.00,4
162,61,True,True,88,75.30,6
163,49,True,False,67,57.50,5
164,44,True,False,54,46.10,4
165,25,True,False,32,26.00,4
166,54,True,True,93,82.40,6
167,56,True,False,78,66.60,5
168,52,True,False,80,67.70,5
169,28,True,False,48,41.20,4
170,52,True,True,98,86.00,6
171,47,True,False,69,58.80,5
172,44,True,False,81,70.10,5
173,42,True,False,71,59.30,5
174,25,True,False,40,34.10,4
175,44,True,False,32,26.50,4
176,27,True,False,41,34.00,4
177,36,True,False,62,54.60,5
178,39,True,False,37,30.70,4
179,34,True,False,50,42.50,4
180,37,True,False,64,54.60,5
181,29,True,False,35,29.60,4
182,33,True,False,51,43.50,4
183,24,True,False,27,22.60,4
184,60,True,False,94,79.90,5
185,38,True,False,48,39.70,4
186,45,True,False,71,60.80,5
187,57,True,False,80,69.30,5
188,44,True,True,91,77.60,6
189,40,True,False,46,39.60,4
190,37,True,False,43,35.70,4
191,43,True,False,62,53.40,5
192,32,True,False,31,25.90,4
193,47,True,False,82,70.90,5
194,58,True,False,89,76.90,5
195,30,True,False,45,36.90,4
196,43,True,False,51,42.60,5
197,48,True,False,71,61.20,5
198,39,True,False,58,49.70,5
199,46,True,False,69,58.40,5
200,50,True,False,78,66.70,5
201,25,True,False,35,29.70,4
202,40,True,False,62,52.00,5
203,48,True,False,59,50.00,5
204,24,True,False,27,22.70,4
205,39,True,False,69,59.70,5
206,52,True,False,79,67.80,5
207,40,True,False,65,57.10,5
208,45,True,False,89,76.20,5
209,25,True,False,36,29.90,4
210,46,True,False,59,49.80,5
211,37,True,False,54,45.50,4
212,27,True,False,41,34.10,4
213,37,True,False,38,31.60,4
214,46,True,True,85,74.10,6
215,62,True,False,74,63.90,5
216,41,True,False,34,26.90,4
217,49,True,False,56,47.20,4
218,30,True,False,50,42.40,4
219,31,True,False,46,38.60,5
220,41,True,False,62,53.50,5
221,38,True,False,46,38.90,5
222,33,True,False,35,30.10,4
223,48,True,False,55,45.60,5
224,63,True,False,80,69.00,5
225,51,True,False,76,66.00,5
226,27,True,False,34,28.00,4
227,52,True,False,84,70.70,5
228,59,True,False,82,72.40,5
229,28,True,False,43,34.50,4
230,30,True,False,34,29.20,4
231,47,True,False,69,59.90,5
232,33,True,False,60,51.20,5
233,35,True,False,36,29.50,4
234,46,True,False,73,62.20,5
235,71,True,False,84,69.90,5
236,29,True,False,34,27.70,4
237,48,True,False,72,62.80,5
238,43,True,True,88,78.10,6
239,34,True,False,38,32.10,4
240,42,True,False,64,54.70,5
241,47,True,False,50,43.10,4
242,27,True,False,19,15.10,3
243,50,True,False,68,59.00,5
244,63,True,True,108,94.50,6
245,25,True,False,25,20.20,4
246,49,True,True,92,81.80,6
247,49,True,False,42,35.60,4
248,39,True,False,28,22.20,4
249,58,True,False,70,60.80,4
250,28,True,False,39,32.90,4
251,48,True,False,75,65.30,5
252,33,True,False,49,40.90,5
253,31,True,False,41,35.30,4
254,61,True,True,95,83.60,6
255,42,True,True,92,80.90,6
256,48,True,False,55,44.90,5
257,33,True,False,55,46.70,5
258,53,True,False,90,77.80,5
259,66,True,False,80,67.50,5
260,52,True,True,86,75.00,6
261,48,True,False,64,56.30,5
262,62,True,False,78,66.90,5
263,57,True,False,72,61.40,5
264,59,True,False,68,59.50,5
265,50,True,False,61,52.10,5
266,60,True,True,96,82.80,6
267,44,True,False,67,58.70,5
268,44,True,False,69,58.50,5
269,51,True,False,62,52.30,5
270,30,True,False,41,34.40,4
271,46,True,True,98,85.80,6
272,48,True,False,69,58.50,5
273,49,True,True,98,85.60,6
274,48,True,False,55,46.60,5
275,32,True,False,45,37.10,4
276,52,True,False,71,61.50,5
277,48,True,False,85,71.80,5
278,48,True,False,69,60.00,5
279,33,True,False,53,45.20,5
280,43,True,False,63,54.10,5
281,23,True,False,31,25.60,4
282,57,True,False,81,69.30,5
283,36,True,False,34,28.70,4
284,45,True,False,60,51.70,5
285,23,True,False,32,26.90,4
286,21,True,False,30,25.40,4
287,51,True,False,76,65.60,5
288,26,True,False,32,25.90,4
289,35,True,False,47,39.90,5
290,29,True,False,44,36.60,4
291,31,True,False,44,37.70,5
292,57,True,False,85,73.90,5
293,30,True,False,38,31.90,4
294,50,True,False,86,73.80,5
295,54,True,False,76,65.40,5
296,38,True,False,67,57.20,5
297,31,True,False,39,31.80,4
298,58,True,True,98,86.10,6
299,30,True,False,39,33.30,4
300,40,True,False,52,44.10,5
301,33,True,False,43,35.90,4
302,22,True,False,27,21.70,4
303,57,True,False,73,62.10,5
304,24,True,False,27,22.00,4
305,40,True,False,53,46.50,4
306,40,True,False,52,43.50,4
307,44,True,False,63,54.00,4
308,30,True,False,37,31.20,4
309,26,True,False,34,28.10,4
310,36,True,False,51,43.40,5
311,27,True,False,43,35.80,4
312,29,True,False,41,33.80,4
313,30,True,False,45,37.00,4
314,24,True,False,38,31.50,4
315,58,True,True,97,84.00,6
316,35,True,False,55,45.60,5
317,26,True,False,41,34.60,4
318,42,True,False,75,64.20,5
319,48,True,False,73,61.90,5
320,40,True,False,56,47.40,5
321,54,True,False,68,58.80,5
322,64,True,False,88,76.90,5
323,41,True,False,69,59.90,5
324,52,True,True,96,82.70,6
